lamT,lamD0.0001omega0,lamD0.0001omega60,lamD10omega0,lamD10omega60
1.15,0.973023735515228,0.950741084907358,0.769307411300736,0.705425803288552
1.16,0.973858038271723,0.952013934174073,0.772230900610792,0.708539970976007
1.17,0.974666538304868,0.953253893044142,0.775117341527597,0.711621216430306
1.18,0.975450033622973,0.954461811404679,0.777967203552936,0.714669887697396
1.19,0.976209297554114,0.955638517181737,0.780780950238751,0.717686329143763
1.2,0.976945079509423,0.956784816907775,0.783559039262552,0.720670881495334
1.21,0.977658105722778,0.957901496274473,0.786301922501853,0.723623881875963
1.22,0.978349079967611,0.958989320671256,0.789010046107678,0.726545663845512
1.23,0.97901868425155,0.960049035709903,0.791683850577129,0.729436557437529
1.24,0.979667579489573,0.9610813677356,0.794323770825038,0.732296889196526
1.25,0.98029640615635,0.962087024324791,0.796930236254708,0.735126982214863
1.26,0.980905784918405,0.963066694770159,0.799503670827757,0.737927156169247
1.27,0.981496317246728,0.964021050553082,0.802044493133083,0.74069772735684
1.28,0.982068586010444,0.964950745803872,0.804553116454947,0.743439008730985
1.29,0.98262315605211,0.965856417750129,0.807029948840198,0.746151309936559
1.3,0.983160574745239,0.966738687153506,0.809475393164645,0.748834937344945
1.31,0.98368137253456,0.967598158735189,0.811889847198588,0.751490194088645
1.32,0.984186063459588,0.968435421590381,0.814273703671519,0.754117380095513
1.33,0.984675145661987,0.96925104959208,0.816627350336,0.756716792122641
1.34,0.985149101877248,0.970045601784416,0.818951170030738,0.759288723789874
1.35,0.985608399911163,0.970819622765835,0.821245540742852,0.761833465612981
1.36,0.986053493101558,0.971573643062366,0.823510835669358,0.764351305036464
1.37,0.98648482076575,0.972308179491263,0.825747423277874,0.766842526466036
1.38,0.98690280863416,0.973023735515228,0.827955667366552,0.769307411300736
1.39,0.987307869270521,0.973720801587503,0.83013592712325,0.771746237964723
1.4,0.987700402479089,0.974399855488027,0.832288557183963,0.774159281938723
1.41,0.988080795699257,0.975061362650915,0.834413907690502,0.776546815791143
1.42,0.988449424387968,0.975705776483476,0.836512324347449,0.778909109208864
1.43,0.988806652390298,0.976333538676985,0.838584148478389,0.781246429027703
1.44,0.989152832298581,0.976945079509423,0.840629717081427,0.783559039262552
1.45,0.989488305800428,0.977540818140398,0.842649362884008,0.7858472011372
1.46,0.989813404015975,0.978121162898443,0.844643414397032,0.788111173113842
1.47,0.990128447824712,0.978686511560892,0.846612195968291,0.790351210922272
1.48,0.990433748182193,0.97923725162652,0.848556027835227,0.792567567588771
1.49,0.990729606426963,0.979773760581142,0.850475226177022,0.794760493464685
1.5,0.99101631457798,0.98029640615635,0.852370103166026,0.796930236254708
1.51,0.991294155622848,0.980805546581557,0.854240967018533,0.799077041044858
1.52,0.991563403797129,0.98130153082954,0.856088122044917,0.801201150330162
1.53,0.991824324855027,0.981784698855623,0.857911868699129,0.80330280404205
1.54,0.992077176331683,0.982255381830695,0.859712503627568,0.805382239575452
1.55,0.992322207797379,0.982713902368195,0.861490319717334,0.807439691815618
1.56,0.992559661103861,0.983160574745239,0.863245606143868,0.809475393164645
1.57,0.992789770623057,0.983595705118027,0.864978648417986,0.811489573567733
1.58,0.993012763478407,0.984019591731694,0.866689728432324,0.813482460539157
1.59,0.993228859769038,0.984432525124723,0.868379124507188,0.815454279187962
1.6,0.993438272787008,0.984834788328091,0.870047111435823,0.817405252243398
1.61,0.993641209227828,0.985226657059261,0.871693960529114,0.819335600080075
1.62,0.993837869394479,0.985608399911163,0.873319939659712,0.821245540742852
1.63,0.994028447395112,0.98598027853629,0.874925313305612,0.823135289971472
1.64,0.994213131334641,0.986342547826044,0.876510342593164,0.825005061224932
1.65,0.994392103500402,0.986695456085435,0.878075285339556,0.826855065705586
1.66,0.994565540542079,0.987039245203278,0.879620396094745,0.828685512383013
1.67,0.994733613646061,0.987374150817989,0.881145926182859,0.830496608017612
1.68,0.994896488704405,0.987700402479089,0.882652123743085,0.832288557183963
1.69,0.995054326478576,0.988018223804548,0.884139233770022,0.834061562293931
1.7,0.995207282758122,0.988327832634049,0.885607498153538,0.835815823619532
1.71,0.995355508514444,0.988629441178305,0.887057155718111,0.837551539315555
1.72,0.995499150049806,0.988923256164508,0.888488442261676,0.839268905441943
1.73,0.995638349141738,0.989209478978025,0.889901590593981,0.840968115985942
1.74,0.995773243182978,0.989488305800428,0.891296830574457,0.842649362884009
1.75,0.995903965317077,0.989759927743962,0.892674389149601,0.844312836043496
1.76,0.996030644569818,0.990024530982538,0.894034490389894,0.845958723364101
1.77,0.996153405976564,0.990282296879333,0.895377355526249,0.847587210759091
1.78,0.996272370705675,0.990533402111107,0.896703202985994,0.849198482176301
1.79,0.996387656178102,0.990778018789297,0.898012248428399,0.850792719618916
1.8,0.996499376183284,0.99101631457798,0.89930470477976,0.852370103166026
1.81,0.996607640991459,0.991248452808802,0.900580782268027,0.853930810992968
1.82,0.996712557462509,0.99147459259292,0.901840688457005,0.855475019391452
1.83,0.996814229151426,0.991694888930063,0.903084628280111,0.857002902789474
1.84,0.996912756410529,0.991909492814771,0.90431280407371,0.85851463377102
1.85,0.997008236488511,0.992118551339887,0.905525415610028,0.86001038309556
1.86,0.997100763626426,0.992322207797379,0.906722660129643,0.861490319717334
1.87,0.997190429150708,0.992520601776554,0.907904732373572,0.86295461080444
1.88,0.997277321563313,0.992713869259735,0.909071824614942,0.864403421757714
