lamT,lamD0omega0,lamD0omega60,lamD1omega0,lamD1omega60
1.92,0.997599640140497,0.995766361087249,0.996502555592205,0.994206479678115
1.93,0.997673880823657,0.995885160039842,0.996604076834184,0.994359842993619
1.94,0.997745825318179,0.996000625408388,0.996702651192274,0.994509146548351
1.95,0.997815544642836,0.996112850735654,0.996798364206454,0.994654497810365
1.96,0.997883107619865,0.996221926939528,0.996891298933707,0.994796001402878
1.97,0.997948580942898,0.996327942386677,0.996981536020103,0.994933759179565
1.98,0.998012029242803,0.996430982964136,0.997069153770773,0.995067870297883
1.99,0.998073515151481,0.996531132148887,0.997154228217868,0.995198431290439
2,0.998133099363692,0.996628471075491,0.997236833186531,0.995325536134473
2.01,0.998190840696968,0.996723078601811,0.997317040358966,0.995449276319506
2.02,0.998246796149676,0.996815031372904,0.997394919336635,0.995569740913192
2.03,0.998301020957282,0.99690440388311,0.997470537700664,0.995687016625426
2.04,0.998353568646874,0.996991268536406,0.99754396107048,0.995801187870765
2.05,0.998404491090002,0.99707569570506,0.997615253160761,0.995912336829177
2.06,0.998453838553881,0.997157753786644,0.997684475836719,0.996020543505207
2.07,0.998501659751016,0.997237509259446,0.997751689167791,0.996125885785555
2.08,0.998548001887279,0.997315026736322,0.997816951479761,0.996228439495141
2.09,0.998592910708516,0.99739036901705,0.997880319405375,0.996328278451684
2.1,0.998636430545699,0.997463597139197,0.997941847933487,0.996425474518838
2.11,0.998678604358689,0.997534770427573,0.998001590456772,0.996520097657912
2.12,0.998719473778642,0.997603946542291,0.998059598818065,0.996612215978236
2.13,0.998759079149104,0.997671181525481,0.998115923355343,0.996701895786181
2.14,0.998797459565837,0.997736529846689,0.998170612945411,0.996789201632887
2.15,0.998834652915412,0.997800044447008,0.998223715046313,0.996874196360727
2.16,0.998870695912604,0.997861776781965,0.998275275738515,0.996956941148542
2.17,0.998905624136642,0.997921776863206,0.998325339764896,0.997037495555674
2.18,0.998939472066321,0.997980093299017,0.998373950569568,0.997115917564838
2.19,0.998972273114045,0.998036773333701,0.998421150335582,0.997192263623861
2.2,0.999004059658805,0.998091862885848,0.99846698002153,0.997266588686308
2.21,0.999034863078144,0.998145406585544,0.998511479397087,0.997338946251038
2.22,0.999064713779129,0.998197447810519,0.998554687077523,0.997409388400716
